[13/01/2025 21:00:51] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:51] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:51] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:51] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:51] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:52] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:53] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:53] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:53] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:53] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:53] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:53] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:53] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:54] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:54] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:00:54] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
