[16/06/2022 12:50:03] --> GM: ADM [268477771], Target: [no-target], Action: [admin_atmosphere_menu], Params: [ signsky dusk] 
[16/06/2022 12:50:16] --> GM: ADM [268477771], Target: [no-target], Action: [admin_social_menu], Params: [] 
[16/06/2022 12:50:19] --> GM: ADM [268477771], Target: [no-target], Action: [admin_social_menu], Params: [ 7] 
[16/06/2022 12:50:24] --> GM: ADM [268477771], Target: [no-target], Action: [admin_social_menu], Params: [ 9] 
[16/06/2022 12:50:27] --> GM: ADM [268477771], Target: [no-target], Action: [admin_social_menu], Params: [ 10] 
[16/06/2022 12:50:29] --> GM: ADM [268477771], Target: [no-target], Action: [admin_social_menu], Params: [ 11] 
[17/06/2022 19:17:42] --> GM: ADM [268477771], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[17/06/2022 19:19:35] --> GM: ADM [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[17/06/2022 19:19:50] --> GM: ADM [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 9819] 
[17/06/2022 19:20:01] --> GM: ADM [268477771], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[17/06/2022 19:20:11] --> GM: ADM [268477771], Target: [ADM], Action: [admin_create_item], Params: [ 9816] 
[17/06/2022 19:20:11] --> GM: ADM [268477771], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[17/06/2022 19:20:14] --> GM: ADM [268477771], Target: [ADM], Action: [admin_create_item], Params: [ 9817] 
[17/06/2022 19:20:15] --> GM: ADM [268477771], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[17/06/2022 19:20:17] --> GM: ADM [268477771], Target: [ADM], Action: [admin_create_item], Params: [ 9818] 
[17/06/2022 19:21:16] --> GM: ADM [268477771], Target: [ADM], Action: [admin_gmspeed 0], Params: [] 
[17/06/2022 19:22:30] --> GM: ADM [268477771], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[17/06/2022 20:10:09] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_itemcreate], Params: [] 
[17/06/2022 20:10:13] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_create_item], Params: [ 4403] 
[17/06/2022 20:10:21] --> GM: ADM [268477771], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[17/06/2022 20:10:24] --> GM: ADM [268477771], Target: [ADM], Action: [admin_create_item], Params: [ 4403] 
[17/06/2022 20:13:29] --> GM: ADM [268477771], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[17/06/2022 20:13:33] --> GM: ADM [268477771], Target: [ADM], Action: [admin_create_item], Params: [ 8935] 
[17/06/2022 20:15:38] --> GM: ADM [268477771], Target: [ADM], Action: [admin_reload], Params: [] 
[17/06/2022 20:15:41] --> GM: ADM [268477771], Target: [ADM], Action: [admin_reload], Params: [ item] 
[17/06/2022 20:15:46] --> GM: ADM [268477771], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[17/06/2022 20:15:49] --> GM: ADM [268477771], Target: [ADM], Action: [admin_create_item], Params: [ 9966] 
[17/06/2022 20:18:04] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [] 
[17/06/2022 20:18:15] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [ teleport] 
[17/06/2022 20:18:32] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [ npc] 
[17/06/2022 20:18:49] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [ instancemanager] 
[17/06/2022 20:18:58] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [ quests] 
[17/06/2022 20:19:09] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [ dbs] 
[17/06/2022 20:19:55] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_server_restart 0], Params: [] 
[17/06/2022 20:27:25] --> GM: ADM [268477771], Target: [Temple Gatekeeper], Action: [admin_gmspeed 4], Params: [] 
[17/06/2022 20:27:49] --> GM: ADM [268477771], Target: [ADM], Action: [admin_setclass], Params: [] 
[17/06/2022 20:27:55] --> GM: ADM [268477771], Target: [ADM], Action: [admin_setclass], Params: [ 90] 
[17/06/2022 20:28:03] --> GM: ADM [268477771], Target: [ADM], Action: [admin_edit_character], Params: [] 
[17/06/2022 20:28:05] --> GM: ADM [268477771], Target: [ADM], Action: [admin_setsex], Params: [] 
[17/06/2022 20:28:12] --> GM: ADM [268477771], Target: [ADM], Action: [admin_edit_character], Params: [] 
[17/06/2022 20:28:20] --> GM: ADM [268477771], Target: [ADM], Action: [admin_changename], Params: [ XxClaudinhaxX] 
